epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3769.78,1.33793,0.67245,0.8747,0.71906,0.57964,0.6151,0.32495,1.34249,0.63548,0.85654,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3884.87,1.33241,0.66867,0.87226,0.72575,0.5751,0.61161,0.32319,1.34665,0.63806,0.85707,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4000.12,1.33092,0.66572,0.87079,0.72428,0.58619,0.62084,0.32804,1.3378,0.63351,0.85488,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4115.6,1.32102,0.66104,0.87062,0.7306,0.58126,0.61935,0.32887,1.33802,0.62955,0.85425,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4230.67,1.32036,0.65786,0.86831,0.73285,0.58404,0.62338,0.32972,1.33461,0.62677,0.85352,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4346.32,1.32183,0.65713,0.86905,0.73508,0.58405,0.62396,0.33165,1.33275,0.6274,0.85418,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4462.09,1.31885,0.65279,0.86689,0.7284,0.58757,0.62235,0.33129,1.32929,0.62386,0.85261,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4578.61,1.31347,0.65193,0.86753,0.73061,0.58523,0.62486,0.33259,1.3267,0.62339,0.85321,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4695.32,1.31084,0.64891,0.86707,0.7282,0.59107,0.62711,0.33311,1.32769,0.62261,0.85358,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4811.37,1.30648,0.64613,0.86734,0.73873,0.58327,0.62535,0.33214,1.3275,0.62146,0.85242,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4926.72,1.29616,0.63988,0.86494,0.73329,0.59177,0.62956,0.33434,1.32344,0.61964,0.85284,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5042.92,1.29902,0.63893,0.86458,0.729,0.59312,0.62696,0.33393,1.32591,0.61834,0.85418,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5157.7,1.29961,0.63922,0.86399,0.74249,0.5837,0.62649,0.33437,1.32366,0.6172,0.85224,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5273.8,1.28965,0.63386,0.8629,0.73784,0.59326,0.62949,0.33619,1.32031,0.61596,0.85218,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5390.38,1.28699,0.63251,0.86319,0.73034,0.59414,0.62989,0.3359,1.32009,0.61462,0.85074,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5506.46,1.28653,0.63016,0.86308,0.72976,0.59742,0.63071,0.33789,1.31681,0.61265,0.85137,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5622.17,1.28296,0.6305,0.86184,0.73693,0.59628,0.63432,0.33929,1.31279,0.61114,0.85024,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5737.79,1.26993,0.62211,0.86123,0.73461,0.59853,0.63418,0.33774,1.31542,0.61167,0.85127,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5852.81,1.27992,0.62234,0.86031,0.73739,0.59515,0.63214,0.33825,1.31721,0.60987,0.85189,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5968.71,1.26889,0.61814,0.8599,0.73626,0.59704,0.63428,0.33931,1.31334,0.60687,0.85186,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6084.14,1.26421,0.61463,0.85839,0.73335,0.59688,0.63415,0.33926,1.31372,0.6071,0.85131,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6198.75,1.27124,0.6174,0.85807,0.73061,0.60309,0.63539,0.33983,1.31438,0.60648,0.84994,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6314.07,1.2618,0.61146,0.85687,0.74655,0.59504,0.63594,0.34066,1.30953,0.60619,0.84979,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6429.44,1.26487,0.61564,0.85655,0.73872,0.60028,0.63677,0.34143,1.3089,0.60516,0.8495,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6545.26,1.26936,0.61311,0.85387,0.73644,0.59991,0.63605,0.34177,1.30578,0.60424,0.84963,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6660.59,1.25683,0.60763,0.85553,0.74457,0.59722,0.63809,0.34341,1.30445,0.60359,0.84993,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6776.44,1.26215,0.60803,0.85499,0.74617,0.59797,0.63874,0.34314,1.30493,0.60215,0.84995,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6892.49,1.25164,0.6053,0.85627,0.73924,0.60279,0.63979,0.34307,1.30396,0.60074,0.84953,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7009.16,1.24395,0.59824,0.85229,0.73721,0.60466,0.64005,0.34373,1.30372,0.60053,0.84951,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7126.3,1.24064,0.59796,0.8537,0.74192,0.60173,0.64077,0.34321,1.3045,0.60001,0.8496,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
